"Path","Platform","Compiled","Cooked","Permutations","Compiletime","CompiledDouble","CookedDouble"
"/ControlRig/M_Manip.M_Manip","0","12","5","1","10.628366","0","30"
"/Engine/EngineDebugMaterials/M_VolumeRenderSphereTracePP.M_VolumeRenderSphereTracePP","0","9","5","1","13.237291","0","26"
"/Engine/VREditor/TransformGizmo/TransformGizmoMaterial.TransformGizmoMaterial","0","7","7","1","7.190827","0","11"
"/Engine/EditorMaterials/WorldPartition/WorldPartitionSpatialHashGridPreviewMaterial.WorldPartitionSpatialHashGridPreviewMaterial","0","9","9","1","12.917275","0","15"
"/Engine/EngineMaterials/WorldGridMaterial.WorldGridMaterial","0","715","9","1","879.136230","0","46576"
"/Engine/EngineSky/VolumetricClouds/m_SimpleVolumetricCloud.m_SimpleVolumetricCloud","0","57","8","1","298.584595","0","460"
"/Engine/EngineMaterials/DefaultPostProcessMaterial.DefaultPostProcessMaterial","0","13","1","1","11.852196","0","39"
"/Engine/EngineMaterials/DefaultMaterial.DefaultMaterial","0","164","9","1","257.417908","0","2265"
"/Engine/EngineMaterials/DefaultDeferredDecalMaterial.DefaultDeferredDecalMaterial","0","101","2","1","126.219734","0","717"
"Globals","49","5621","0","1","0.000000","0","0"
"/ControlRig/Controls/ControlRigGizmoMaterial.ControlRigGizmoMaterial","49","7","1","1","13.708288","0","29"
"/Engine/EngineDebugMaterials/DebugEditorMaterial.DebugEditorMaterial","49","9","2","1","13.850361","0","31"
"/MeshModelingToolset/Materials/M_DynamicMeshComponentVtxColor.M_DynamicMeshComponentVtxColor","49","21","1","1","31.655455","0","233"
"/Engine/EditorMaterials/PhAT_UnselectedMaterial.PhAT_UnselectedMaterial","49","8","1","1","9.844258","0","43"
"/Engine/EditorMaterials/PhAT_NoCollisionMaterial.PhAT_NoCollisionMaterial","49","8","1","1","9.847537","0","43"
"/Engine/EngineDebugMaterials/DebugMeshMaterial.DebugMeshMaterial","49","10","1","1","12.056511","0","64"
"/Engine/EngineMaterials/RemoveSurfaceMaterial.RemoveSurfaceMaterial","49","7","1","1","9.044263","0","34"
"/Engine/EngineMaterials/GizmoMaterial.GizmoMaterial","49","9","1","1","10.374421","0","53"
"/ControlRig/Controls/ControlRigXRayMaterial.ControlRigXRayMaterial","49","12","1","1","12.473113","0","89"
"/Engine/EngineDebugMaterials/M_SimpleUnlitTranslucent.M_SimpleUnlitTranslucent","49","8","1","1","10.249907","0","43"
"/Engine/EditorLandscapeResources/SplineEditorMeshMat.SplineEditorMeshMat","49","15","1","1","16.154757","0","134"
"/Engine/EditorMaterials/Camera/CineMat.CineMat","49","32","1","1","37.715736","0","540"
"/Engine/VREditor/TransformGizmo/Xray.Xray","49","18","1","1","22.392767","0","181"
"/Engine/VREditor/TransformGizmo/TranslucentTransformGizmoMaterial.TranslucentTransformGizmoMaterial","49","8","1","1","10.939110","0","43"
"/Engine/EngineMaterials/DefaultLightFunctionMaterial.DefaultLightFunctionMaterial","49","150","2","1","158.206543","0","11293"
"/Engine/VREditor/TransformGizmo/Main.Main","49","8","1","1","10.929617","0","43"
"/Interchange/Materials/UnlitMaterial.UnlitMaterial","49","7","1","1","9.918918","0","34"
"/Engine/EngineSky/M_SimpleSkyDome.M_SimpleSkyDome","49","7","1","1","11.660655","0","34"
"/Game/RTS_Unknown/Materials/M_BuildingColors.M_BuildingColors","49","32","1","1","44.218399","0","532"
"/Game/RTS_Unknown/Materials/M_UnitColors.M_UnitColors","49","32","1","1","42.379417","0","559"
"/Game/StarterContent/Materials/M_Basic_Wall.M_Basic_Wall","49","44","6","1","61.349720","0","857"
"/Engine/EngineMaterials/FlattenMaterial_WS_Normal_VT.FlattenMaterial_WS_Normal_VT","49","65","1","1","118.523544","0","2120"
"/Engine/EngineMaterials/FlattenMaterial_VT.FlattenMaterial_VT","49","65","2","1","128.255341","0","2042"
"/Engine/EngineMaterials/FlattenMaterial.FlattenMaterial","49","65","1","1","123.692963","0","2137"
"/Engine/EngineMaterials/M_InvalidLightmapSettings.M_InvalidLightmapSettings","49","36","1","1","47.665493","0","701"
"/Engine/EngineMaterials/EmissiveMeshMaterial.EmissiveMeshMaterial","49","10","1","1","13.431105","0","59"
"/Paper2D/DefaultSpriteMaterial.DefaultSpriteMaterial","49","60","2","2","73.297340","0","1110"
"/Engine/EngineMaterials/PhAT_JointLimitMaterial.PhAT_JointLimitMaterial","49","12","1","1","14.419334","0","89"
"/ControlRig/M_Manip.M_Manip","49","12","1","1","12.563564","0","89"
"/Engine/EngineDebugMaterials/M_VolumeRenderSphereTracePP.M_VolumeRenderSphereTracePP","49","9","1","1","11.031258","0","47"
"/Engine/VREditor/TransformGizmo/TransformGizmoMaterial.TransformGizmoMaterial","49","7","1","1","9.034332","0","34"
"/Engine/EditorMaterials/WorldPartition/WorldPartitionSpatialHashGridPreviewMaterial.WorldPartitionSpatialHashGridPreviewMaterial","49","9","1","1","15.539026","0","53"
"/Engine/EngineMaterials/Widget3DPassThrough.Widget3DPassThrough","49","76","7","6","90.619942","0","661"
"/Engine/EngineSky/VolumetricClouds/m_SimpleVolumetricCloud.m_SimpleVolumetricCloud","49","57","1","1","83.008064","0","1435"
"/Engine/EngineMaterials/DefaultPostProcessMaterial.DefaultPostProcessMaterial","49","13","1","1","14.789520","0","103"
"/Engine/EngineMaterials/DefaultDeferredDecalMaterial.DefaultDeferredDecalMaterial","49","101","5","1","118.846214","0","4062"
"/Engine/EngineMaterials/DefaultMaterial.DefaultMaterial","49","164","9","1","204.118225","0","7034"
"/Engine/EngineMaterials/WorldGridMaterial.WorldGridMaterial","49","942","5","1","1066.223877","0","130923"
"/Engine/EngineMaterials/DefaultTextMaterialOpaque.DefaultTextMaterialOpaque","49","34","1","1","40.937515","0","612"
"/Engine/EngineMaterials/PPM_DefaultCalibrationColor.PPM_DefaultCalibrationColor","49","9","1","1","10.064614","0","47"
"/Engine/EditorMaterials/PreviewShadowIndicatorMaterial.PreviewShadowIndicatorMaterial","49","150","1","1","153.505508","0","7347"
"/Engine/EngineMaterials/PPM_DefaultCalibrationGrayscale.PPM_DefaultCalibrationGrayscale","49","9","3","1","9.989399","0","48"
"/Interchange/Materials/PhongSurfaceMaterial.PhongSurfaceMaterial","49","18","1","1","23.054041","0","160"
"/Engine/EngineSky/M_Sky_Panning_Clouds2.M_Sky_Panning_Clouds2","49","7","1","1","10.969121","0","34"
"/Game/StarterContent/Materials/M_Metal_Gold.M_Metal_Gold","49","30","1","1","44.322899","0","488"
"/Game/LevelPrototyping/Cursor/M_Cursor.M_Cursor","49","65","1","1","78.134071","0","1743"
"/Game/StarterContent/Particles/Materials/M_Radial_Gradient.M_Radial_Gradient","49","23","1","1","21.921518","0","255"
"/Game/StarterContent/Particles/Materials/M_smoke_subUV.M_smoke_subUV","49","64","7","1","67.478081","0","1562"
"/Game/StarterContent/Particles/Materials/M_Spark.M_Spark","49","18","1","1","17.870007","0","188"
"/SpeedTreeImporter/SpeedTree9/SpeedTreeBillboardMaster.SpeedTreeBillboardMaster","49","68","1","1","102.894531","0","1818"
"/SpeedTreeImporter/SpeedTree9/SpeedTreeMaster.SpeedTreeMaster","49","100","1","1","171.733994","0","4084"
"/Interchange/Materials/LambertSurfaceMaterial.LambertSurfaceMaterial","49","18","1","1","24.716969","0","188"
"/Interchange/Materials/OrenNayerMaterial.OrenNayerMaterial","49","19","1","1","28.621508","0","206"
"/Game/RTS_Unknown/Materials/M_SelectionDecal.M_SelectionDecal","49","30","1","1","36.445076","0","373"
"/Game/RTS_Unknown/Materials/M_HighlightDecal.M_HighlightDecal","49","30","1","1","37.478077","0","387"
"/Interchange/gltf/M_Unlit.M_Unlit","49","42","2","2","43.679779","0","372"
"/Interchange/Materials/ThinTranslucentMaterial.ThinTranslucentMaterial","49","28","1","1","113.971306","0","300"
"/Interchange/Materials/SubsurfaceMaterial.SubsurfaceMaterial","49","18","1","1","25.458010","0","171"
"/Interchange/Materials/SheenMaterial.SheenMaterial","49","18","1","1","25.821764","0","162"
"/Interchange/Materials/PBRSurfaceMaterial.PBRSurfaceMaterial","49","18","1","1","24.489729","0","134"
"/Interchange/Materials/ClearCoatMaterial.ClearCoatMaterial","49","18","1","1","25.666750","0","132"
"/Game/LevelPrototyping/Materials/M_PrototypeGrid.M_PrototypeGrid","49","44","1","1","62.230217","0","711"
"/Game/Characters/Mannequins/Materials/M_Mannequin.M_Mannequin","49","102","4","3","92.385849","0","1239"
"/Interchange/gltf/M_Transmission.M_Transmission","49","124","5","4","478.852325","0","1829"
"/Interchange/gltf/M_Sheen.M_Sheen","49","136","4","4","166.647461","0","2099"
"/Interchange/gltf/M_Translucent.M_Translucent","49","232","8","8","848.897461","0","3086"
"/Interchange/gltf/M_Opaque.M_Opaque","49","272","16","8","315.660095","0","3241"
